lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
234.20,43.60,3.88,2.00,0.00,0.00,nan,nan,nan,3.88,357.69,4.55,2342436,234.20,43.60,234.20,43.60,3.00,33.62,100.00,20.00,100.00,2.88,0.00,0.00,2.00
234.40,43.60,3.97,2.00,0.00,0.00,nan,nan,nan,3.97,357.69,4.55,2344436,234.40,43.60,234.40,43.60,3.00,33.62,100.00,20.00,100.00,2.88,0.00,0.00,2.00
234.60,43.60,5.00,6.00,0.00,0.00,nan,nan,nan,5.00,357.69,4.55,2346436,234.60,43.60,234.60,43.60,6.00,33.62,100.00,20.00,100.00,359.30,3.00,0.31,5.99
234.80,43.60,4.81,8.35,0.00,0.00,nan,nan,nan,4.81,359.10,6.35,2348436,234.80,43.60,234.80,43.60,10.00,33.62,100.00,20.00,100.00,355.85,6.99,1.02,8.28
235.40,43.60,17.98,7.85,0.00,0.00,280.93,23.41,34.67,17.98,357.34,10.74,2354436,235.40,43.60,235.40,43.60,12.00,33.50,100.00,20.00,100.00,357.51,9.22,1.26,7.75
235.60,43.60,21.98,7.91,0.00,0.00,nan,nan,nan,21.98,354.87,11.41,2356436,235.60,43.60,235.60,43.60,15.00,32.57,100.00,20.00,100.00,352.85,10.82,1.48,7.77
232.20,43.80,3.34,2.00,0.00,0.00,nan,nan,nan,3.34,359.34,4.43,2322438,232.20,43.80,232.20,43.80,3.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.00
232.40,43.80,3.36,2.00,0.00,0.00,nan,nan,nan,3.36,359.34,4.43,2324438,232.40,43.80,232.40,43.80,3.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.00
232.60,43.80,3.40,2.00,0.00,0.00,nan,nan,nan,3.40,359.34,4.43,2326438,232.60,43.80,232.60,43.80,3.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.00
232.80,43.80,3.46,2.00,0.00,0.00,nan,nan,nan,3.46,359.34,4.43,2328438,232.80,43.80,232.80,43.80,3.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.00
233.00,43.80,3.54,2.00,0.00,0.00,nan,nan,nan,3.54,359.34,4.43,2330438,233.00,43.80,233.00,43.80,3.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.00
233.20,43.80,3.63,2.92,0.00,0.00,nan,nan,nan,3.63,359.34,4.43,2332438,233.20,43.80,233.20,43.80,5.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.92
233.40,43.80,3.70,2.58,0.00,0.00,nan,nan,nan,3.70,359.34,4.43,2334438,233.40,43.80,233.40,43.80,4.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.58
233.60,43.80,3.76,2.92,0.00,0.00,nan,nan,nan,3.76,359.34,4.43,2336438,233.60,43.80,233.60,43.80,4.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.92
233.80,43.80,3.81,2.92,0.00,0.00,nan,nan,nan,3.81,359.34,4.43,2338438,233.80,43.80,233.80,43.80,4.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.92
234.00,43.80,3.88,2.92,0.00,0.00,nan,nan,nan,3.88,359.34,4.43,2340438,234.00,43.80,234.00,43.80,4.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.92
234.20,43.80,3.96,2.92,0.00,0.00,nan,nan,nan,3.96,359.34,4.43,2342438,234.20,43.80,234.20,43.80,4.00,33.95,100.00,20.00,100.00,6.56,0.00,0.00,2.92
234.40,43.80,5.05,2.92,0.00,0.00,nan,nan,nan,5.05,359.34,4.43,2344438,234.40,43.80,234.40,43.80,4.00,33.95,100.00,20.00,100.00,8.83,0.00,0.00,2.92
234.60,43.80,5.28,2.50,0.00,0.00,nan,nan,nan,5.28,359.34,4.43,2346438,234.60,43.80,234.60,43.80,2.50,34.27,100.00,20.00,100.00,356.95,4.72,0.21,2.49
234.80,43.80,6.12,7.25,0.00,0.00,nan,nan,nan,6.12,0.95,6.17,2348438,234.80,43.80,234.80,43.80,7.00,34.27,100.00,20.00,100.00,350.96,8.10,1.02,7.17
235.00,43.80,8.03,2.50,0.00,0.00,nan,nan,nan,8.03,1.85,7.98,2350438,235.00,43.80,235.00,43.80,2.50,35.11,100.00,20.00,100.00,354.69,7.84,0.34,2.48
235.20,43.80,9.67,11.34,0.00,0.00,nan,nan,nan,9.67,1.32,9.82,2352438,235.20,43.80,235.20,43.80,4.00,35.11,100.00,20.00,100.00,358.05,8.70,1.71,11.21
235.40,43.80,12.34,10.05,0.00,0.00,nan,nan,nan,12.34,359.17,11.50,2354438,235.40,43.80,235.40,43.80,5.00,35.11,100.00,20.00,100.00,354.99,10.03,1.75,9.90
235.60,43.80,17.04,7.48,0.00,0.00,nan,nan,nan,17.04,355.75,12.37,2356438,235.60,43.80,235.60,43.80,10.00,35.11,100.00,20.00,100.00,357.28,10.84,1.41,7.35
235.80,43.80,21.51,4.76,0.00,0.00,nan,nan,nan,21.51,351.39,11.52,2358438,235.80,43.80,235.80,43.80,5.00,35.11,100.00,20.00,100.00,359.12,11.32,0.93,4.67
236.02,43.80,23.98,14.91,7.99,0.61,nan,nan,nan,37.78,346.46,8.91,2360438,236.00,43.80,236.00,43.80,25.00,35.11,100.00,20.00,100.00,355.11,15.33,3.94,14.37
232.00,44.00,3.33,2.00,0.00,0.00,nan,nan,nan,3.33,359.80,4.35,2320440,232.00,44.00,232.00,44.00,3.00,33.95,100.00,20.00,100.00,8.83,0.00,0.00,2.00
232.20,44.00,3.35,2.00,0.00,0.00,nan,nan,nan,3.35,359.80,4.35,2322440,232.20,44.00,232.20,44.00,3.00,33.95,100.00,20.00,100.00,8.83,0.00,0.00,2.00
232.40,44.00,3.38,2.00,0.00,0.00,nan,nan,nan,3.38,359.80,4.35,2324440,232.40,44.00,232.40,44.00,3.00,33.95,100.00,20.00,100.00,8.83,0.00,0.00,2.00
232.60,44.00,3.44,2.00,0.00,0.00,nan,nan,nan,3.44,359.80,4.35,2326440,232.60,44.00,232.60,44.00,3.00,33.95,100.00,20.00,100.00,8.83,0.00,0.00,2.00
232.80,44.00,3.51,2.00,0.00,0.00,nan,nan,nan,3.51,359.80,4.35,2328440,232.80,44.00,232.80,44.00,3.00,33.95,100.00,20.00,100.00,8.83,0.00,0.00,2.00
233.00,44.00,3.59,2.00,0.00,0.00,nan,nan,nan,3.59,359.80,4.35,2330440,233.00,44.00,233.00,44.00,3.00,33.95,100.00,20.00,100.00,11.10,0.00,0.00,2.00
233.20,44.00,3.67,2.92,0.00,0.00,nan,nan,nan,3.67,359.80,4.35,2332440,233.20,44.00,233.20,44.00,5.00,34.27,100.00,20.00,100.00,11.10,0.00,0.00,2.92
233.40,44.00,3.75,2.58,0.00,0.00,nan,nan,nan,3.75,359.80,4.35,2334440,233.40,44.00,233.40,44.00,4.00,34.27,100.00,20.00,100.00,11.10,0.00,0.00,2.58
233.60,44.00,3.79,2.58,0.00,0.00,nan,nan,nan,3.79,359.80,4.35,2336440,233.60,44.00,233.60,44.00,4.00,34.27,100.00,20.00,100.00,11.10,0.00,0.00,2.58
233.80,44.00,3.85,2.92,0.00,0.00,nan,nan,nan,3.85,359.80,4.35,2338440,233.80,44.00,233.80,44.00,4.00,34.92,100.00,20.00,100.00,11.10,0.00,0.00,2.92
234.00,44.00,3.92,2.92,0.00,0.00,nan,nan,nan,3.92,359.80,4.35,2340440,234.00,44.00,234.00,44.00,4.00,34.92,100.00,20.00,100.00,11.10,0.00,0.00,2.92
234.20,44.00,4.00,2.92,0.00,0.00,nan,nan,nan,4.00,359.80,4.35,2342440,234.20,44.00,234.20,44.00,4.00,34.92,100.00,20.00,100.00,11.10,0.00,0.00,2.92
234.40,44.00,4.09,2.92,0.00,0.00,nan,nan,nan,4.09,359.80,4.35,2344440,234.40,44.00,234.40,44.00,4.00,34.92,100.00,20.00,100.00,4.75,0.00,0.00,2.92
234.60,44.00,5.28,2.50,0.00,0.00,nan,nan,nan,5.28,0.34,4.69,2346440,234.60,44.00,234.60,44.00,2.50,35.04,100.00,20.00,100.00,357.63,5.63,0.25,2.49
