lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
236.00,42.40,23.86,5.57,0.48,0.04,nan,nan,nan,24.93,359.88,20.99,2360424,236.00,42.40,236.00,42.40,10.00,31.44,100.00,20.00,100.00,354.38,14.29,1.37,5.40
236.00,42.60,25.00,6.00,0.52,0.04,nan,nan,nan,25.00,4.64,19.66,2360426,236.00,42.60,236.00,42.60,6.00,31.44,100.00,20.00,100.00,353.18,15.95,1.65,5.77
236.20,43.20,25.50,5.76,0.81,0.06,nan,nan,nan,25.50,13.70,12.45,2362432,236.20,43.20,236.20,43.20,6.00,32.57,100.00,20.00,100.00,353.54,14.16,1.41,5.58
236.60,40.60,30.19,9.73,0.24,0.02,188.56,44.45,154.34,24.41,356.00,16.18,2366406,236.60,40.60,236.60,40.60,13.00,35.02,100.00,20.00,100.00,14.94,7.85,1.33,9.64
236.80,43.00,25.00,4.00,0.52,0.04,nan,nan,nan,25.00,21.81,31.40,2368430,236.80,43.00,236.80,43.00,4.00,31.44,100.00,20.00,100.00,358.80,18.02,1.24,3.80
236.60,44.00,40.10,14.37,1.60,0.12,nan,nan,nan,26.77,3.34,11.19,2366440,236.60,44.00,236.60,44.00,13.00,35.11,100.00,20.00,100.00,356.60,16.36,4.05,13.79
236.80,44.00,40.03,15.70,0.35,0.03,nan,nan,nan,24.60,8.71,19.60,2368440,236.80,44.00,236.80,44.00,10.00,35.11,100.00,20.00,100.00,0.30,16.51,4.46,15.05
236.80,44.20,40.01,15.55,1.28,0.10,nan,nan,nan,26.21,11.35,16.35,2368442,236.80,44.20,236.80,44.20,11.00,35.11,100.00,20.00,100.00,356.04,17.10,4.57,14.86
236.60,44.40,39.76,15.60,0.56,0.04,nan,nan,nan,24.97,10.92,4.14,2366444,236.60,44.40,236.60,44.40,11.00,35.05,100.00,20.00,100.00,359.76,16.21,4.35,14.98
236.80,44.40,39.97,14.98,1.29,0.10,nan,nan,nan,26.23,16.84,12.47,2368444,236.80,44.40,236.80,44.40,11.00,35.05,100.00,20.00,100.00,3.89,16.28,4.20,14.38
236.60,44.60,40.23,15.30,0.72,0.06,nan,nan,nan,25.25,57.87,1.88,2366446,236.60,44.60,236.60,44.60,12.00,35.07,100.00,20.00,100.00,2.65,14.60,3.86,14.80
236.80,44.60,39.92,14.38,1.82,0.14,nan,nan,nan,27.14,25.35,8.80,2368446,236.80,44.60,236.80,44.60,12.00,35.07,100.00,20.00,100.00,10.30,15.91,3.94,13.83
236.60,44.80,34.25,16.36,0.42,0.03,nan,nan,nan,24.73,110.46,2.41,2366448,236.60,44.80,236.60,44.80,11.00,35.02,100.00,20.00,100.00,3.38,13.79,3.90,15.88
236.80,44.80,39.77,14.99,2.22,0.17,nan,nan,nan,27.84,33.91,6.09,2368448,236.80,44.80,236.80,44.80,13.00,35.02,100.00,20.00,100.00,1.70,14.67,3.80,14.51
237.01,44.80,44.82,14.75,1.73,0.13,nan,nan,nan,26.99,20.36,15.18,2370448,237.00,44.80,237.00,44.80,11.00,35.02,100.00,20.00,100.00,5.64,15.22,3.87,14.24
236.60,45.00,39.80,14.75,1.98,0.15,nan,nan,nan,27.43,119.02,2.74,2366450,236.60,45.00,236.60,45.00,13.00,35.02,100.00,20.00,100.00,2.33,13.98,3.56,14.32
236.80,45.00,39.86,14.63,1.45,0.11,nan,nan,nan,26.52,34.33,4.48,2368450,236.80,45.00,236.80,45.00,12.00,35.02,100.00,20.00,100.00,4.10,14.26,3.60,14.18
237.01,45.00,40.22,13.36,1.96,0.15,nan,nan,nan,27.40,15.67,12.25,2370450,237.00,45.00,237.00,45.00,11.00,35.02,100.00,20.00,100.00,9.85,12.72,2.94,13.03
236.60,45.20,40.28,13.17,1.26,0.10,nan,nan,nan,26.21,110.86,2.03,2366452,236.60,45.20,236.60,45.20,12.00,34.68,100.00,20.00,100.00,2.84,12.12,2.77,12.88
236.80,45.20,40.14,13.60,0.07,0.01,nan,nan,nan,24.11,18.78,3.97,2368452,236.80,45.20,236.80,45.20,10.00,34.68,100.00,20.00,100.00,10.15,12.87,3.03,13.26
237.00,45.20,40.28,13.36,1.75,0.13,nan,nan,nan,27.03,5.70,11.00,2370452,237.00,45.20,237.00,45.20,10.00,35.02,100.00,20.00,100.00,9.60,12.65,2.93,13.04
236.60,45.40,40.29,13.17,0.86,0.07,nan,nan,nan,25.51,40.74,0.88,2366454,236.60,45.40,236.60,45.40,11.00,34.68,100.00,20.00,100.00,3.80,11.76,2.69,12.90
236.80,45.40,40.07,14.18,1.07,0.08,nan,nan,nan,25.87,353.76,4.84,2368454,236.80,45.40,236.80,45.40,11.00,34.68,100.00,20.00,100.00,2.51,12.53,3.08,13.84
